Image,Field,Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8,Field9,Field10,Field11,Field12,Field13,Field14,Field15,Field16,NAME_URL,NAME,NAME_URL17,NAME18,AGE,OVA,POT,TEAM_CONTRACT,TEAM_CONTRACT_URL,TEAM_CONTRACT19,TEAM_CONTRACT20,FOOT,BOV,BP_URL,BP,VALUE,WAGE,ATTACKING,CROSSING,FINISHING,HEADINGACCURACY,SHORTPASSING,VOLLEYS,SKILL,DRIBBLING,CURVE,FKACCURACY,LONGPASSING,BALLCONTROL,MOVEMENT,ACCELERATION,SPRINTSPEED,AGILITY,REACTIONS,BALANCE,POWER,SHOTPOWER,JUMPING,STAMINA,STRENGTH,LONGSHOTS,MENTALITY,AGGRESSION,INTERCEPTIONS,POSITIONING,VISION,PENALTIES,COMPOSURE,DEFENDING,MARKING,STANDINGTACKLE,SLIDINGTACKLE,GOALKEEPING,GKDIVING,GKHANDLING,GKKICKING,GKPOSITIONING,GKREFLEXES,TOTAL,BASESTATS,W_F,SM,A_W,D_W,IR,BODYTYPE,PAC,SHO,PAS,DRI,DEF,PHY,NAME_URL21,NAME22,NAME_URL23,NAME24
https://cdn.sofifa.net/players/247/090/23_60.png,"FIFA 23 Dec 17, 2022",77,Dribbling,81,Long Passing,77,Reactions,83,Stamina,70,Interceptions,82,Vision,72,Marking,79,Overall Rating,https://sofifa.com/player/247090/enzo-fernandez/230008/,E. Fernández,https://sofifa.com/players?pn=14,CM,21,80,87,https://cdn.sofifa.net/teams/234/30.png,https://sofifa.com/team/234/benfica/,Benfica,"
2022 ~ 2027",Right,82,https://sofifa.com/players?pn=14,CM,€42.5M,€13K,356,66,66,66,83,75,383,78,74,69,82,80,381,77,72,76,79,77,395,83,70,85,79,78,390,82,75,79,84,70,80,225,76,75,74,39,8,6,7,8,10,2169,460,4 ,3,High,High,1 ,Normal (170-185),74,73,79,79,74,81,https://sofifa.com/players?pn=10,CDM,,
https://cdn.sofifa.net/players/239/837/23_60.png,,,,,,,,,,,,,,,,,,https://sofifa.com/player/239837/alexis-mac-allister/230008/,A. Mac Allister,https://sofifa.com/players?pn=14,CM,23,77,82,https://cdn.sofifa.net/teams/1808/30.png,https://sofifa.com/team/1808/brighton-hove-albion/,Brighton & Hove Albion,"
2019 ~ 2025",Right,79,https://sofifa.com/players?pn=18,CAM,€16M,€52K,371,79,77,61,81,73,397,76,83,82,77,79,359,73,66,73,75,72,365,78,64,75,67,81,350,54,61,77,78,80,76,195,68,67,60,56,7,10,14,15,10,2093,434,3 ,3,Medium,Medium,1 ,Normal (170-185),69,78,80,76,65,66,https://sofifa.com/players?pn=18,CAM,,
https://cdn.sofifa.net/players/251/570/23_60.png,"FIFA 23 Dec 17, 2022",73,Acceleration,53,Stamina,65,Strength,66,Long Shots,,,,,,,,,https://sofifa.com/player/251570/rayan-cherki/230008/,R. Cherki,https://sofifa.com/players?pn=27,LW,18,73,88,https://cdn.sofifa.net/teams/66/30.png,https://sofifa.com/team/66/olympique-lyonnais/,Olympique Lyonnais,"
2019 ~ 2023",Left,74,https://sofifa.com/players?pn=18,CAM,€7M,€19K,288,70,64,28,69,57,374,86,77,73,59,79,376,74,68,82,69,83,298,76,31,56,67,68,277,57,22,69,68,61,75,57,19,23,15,43,7,14,6,8,8,1713,369,5 ,5,High,Low,1 ,Stocky (170-185),71,67,68,82,21,60,https://sofifa.com/players?pn=25,ST,https://sofifa.com/players?pn=23,RW
https://cdn.sofifa.net/players/233/510/23_60.png,,,,,,,,,,,,,,,,,,https://sofifa.com/player/233510/tahith-chong/230008/,T. Chong,https://sofifa.com/players?pn=16,LM,22,70,78,https://cdn.sofifa.net/teams/88/30.png,https://sofifa.com/team/88/birmingham-city/,Birmingham City,"
2022 ~ 2026",Left,71,https://sofifa.com/players?pn=16,LM,€3.6M,€16K,303,69,62,46,67,59,339,72,68,62,67,70,345,78,81,74,56,56,314,73,55,65,59,62,294,65,42,67,69,51,58,134,43,48,43,53,13,7,14,8,11,1782,388,3 ,4,High,High,1 ,Lean (185+),80,64,68,69,45,62,https://sofifa.com/players?pn=18,CAM,https://sofifa.com/players?pn=23,RW
https://cdn.sofifa.net/players/237/679/23_60.png,,,,,,,,,,,,,,,,,,https://sofifa.com/player/237679/randal-kolo-muani/230008/,R. Kolo Muani,https://sofifa.com/players?pn=25,ST,23,80,86,https://cdn.sofifa.net/teams/1824/30.png,https://sofifa.com/team/1824/eintracht-frankfurt/,Eintracht Frankfurt,"
2022 ~ 2027",Right,81,https://sofifa.com/players?pn=25,ST,€33.5M,€34K,348,45,79,78,76,70,351,85,69,54,61,82,385,89,85,82,78,51,357,75,82,68,69,63,279,32,38,82,65,62,79,95,32,32,31,49,7,14,15,8,5,1864,406,3 ,4,Medium,Medium,1 ,Lean (185+),87,74,64,81,38,62,https://sofifa.com/players?pn=12,RM,,
https://cdn.sofifa.net/players/268/802/23_60.png,,,,,,,,,,,,,,,,,,https://sofifa.com/player/268802/fabio-miretti/230008/,F. Miretti,https://sofifa.com/players?pn=14,CM,18,73,88,https://cdn.sofifa.net/teams/45/30.png,https://sofifa.com/team/45/juventus/,Juventus,"
2021 ~ 2026",Right,76,https://sofifa.com/players?pn=12,RM,€7M,€22K,319,71,52,49,77,70,374,77,74,69,75,79,381,77,77,79,71,77,339,66,59,79,67,68,338,72,62,66,73,65,75,198,62,69,67,52,11,9,6,14,12,2001,422,4 ,3,Medium,Medium,1 ,Normal (170-185),77,60,74,77,63,71,https://sofifa.com/players?pn=18,CAM,https://sofifa.com/players?pn=10,CDM
https://cdn.sofifa.net/players/202/811/23_60.png,,,,,,,,,,,,,,,,,,https://sofifa.com/player/202811/emiliano-martinez/230008/,E. Martínez,https://sofifa.com/players?pn=0,GK,29,84,84,https://cdn.sofifa.net/teams/2/30.png,https://sofifa.com/team/2/aston-villa/,Aston Villa,"
2020 ~ 2027",Right,84,https://sofifa.com/players?pn=0,GK,€29M,€95K,127,22,16,26,50,13,149,13,22,20,59,35,294,59,57,49,80,49,248,62,60,40,70,16,170,37,13,12,66,42,60,51,11,20,20,418,85,83,82,83,85,1457,476,4 ,1,Medium,Medium,3 ,Stocky (185+),85,83,82,85,58,83,,,,
https://cdn.sofifa.net/players/246/191/23_60.png,"FIFA 23 Dec 17, 2022",81,Vision,,Long Shot Taker (AI),,Playmaker (AI),,+ Speed Dribbler (AI),,+ Chip Shot (AI),,,,,,,https://sofifa.com/player/246191/julian-alvarez/230008/,J. Álvarez,https://sofifa.com/players?pn=25,ST,22,79,86,https://cdn.sofifa.net/teams/10/30.png,https://sofifa.com/team/10/manchester-city/,Manchester City,"
2022 ~ 2027",Right,81,https://sofifa.com/players?pn=18,CAM,€36M,€110K,372,75,80,68,74,75,393,82,80,74,74,83,411,82,77,87,78,87,382,84,69,79,70,80,362,83,46,82,78,73,82,159,60,53,46,45,6,10,8,15,6,2124,447,4 ,4,High,High,1 ,Normal (170-),79,80,75,83,55,75,https://sofifa.com/players?pn=23,RW,https://sofifa.com/players?pn=27,LW
https://cdn.sofifa.net/players/247/635/23_60.png,,,,,,,,,,,,,,,,,,https://sofifa.com/player/247635/khvicha-kvaratskhelia/230008/,K. Kvaratskhelia,https://sofifa.com/players?pn=27,LW,21,79,88,https://cdn.sofifa.net/teams/48/30.png,https://sofifa.com/team/48/napoli/,Napoli,"
2022 ~ 2027",Right,81,https://sofifa.com/players?pn=18,CAM,€39.5M,€46K,345,69,72,62,78,64,376,84,78,59,72,83,392,83,82,84,72,71,348,76,59,71,68,74,320,61,37,79,78,65,76,114,41,39,34,54,9,15,8,14,8,1949,419,5 ,4,Medium,Medium,1 ,Normal (170-185),82,73,74,82,41,67,https://sofifa.com/players?pn=18,CAM,,
https://cdn.sofifa.net/players/255/125/23_60.png,"FIFA 23 Dec 17, 2022",76,Short Passing,69,Dribbling,74,Long Passing,59,Sprint Speed,58,Positioning,68,Vision,65,Composure,70,Overall Rating,https://sofifa.com/player/255125/azzedine-ounahi/230008/,A. Ounahi,https://sofifa.com/players?pn=14,CM,22,71,82,https://cdn.sofifa.net/teams/1530/30.png,https://sofifa.com/team/1530/angers-sco/,Angers SCO,"
2021 ~ 2026",Right,73,https://sofifa.com/players?pn=14,CM,€4.2M,€13K,301,56,60,58,78,49,330,70,59,52,75,74,319,55,60,70,67,67,335,72,61,81,63,58,301,58,60,59,69,55,68,183,56,66,61,48,14,13,6,8,7,1817,386,3 ,3,High,High,1 ,Lean (170-185),58,61,69,71,61,66,,,,
